date,title,description,location,url_thumb,url_full
2021-05-08,Armand Vaillancourt,"Portrait d’Armand Vaillancourt capturé à Montréal lors d’une courte rencontre. Un artiste pertinent, généreux et qui en a encore long à dire.",Montreal,/img/photos/editorial/400px/20210702-ArmandVaillancourt-PhilBoivin-001.jpg,/img/photos/editorial/900px/20210702-ArmandVaillancourt-PhilBoivin-001.jpg
2021-06-10,YAM,Paule de chez YAM fait l'installation d'un bac à fleurs pour l'arrondissement Mercier-Hochelage-Maisonneuve.,Trois-Rivières,/img/photos/editorial/400px/20210610-YAM-PhilBoivin-001.jpg,/img/photos/editorial/900px/20210610-YAM-PhilBoivin-001.jpg
2021-05-08,Von Wong,Benjamin Von Wong lors de la création de son robinet de plastic géant.,Montreal,/img/photos/editorial/400px/20210508-BenVonWong-PhilBoivin-001.jpg,/img/photos/editorial/900px/20210508-BenVonWong-PhilBoivin-001.jpg
2020-12-18,Condensation,Un homme travaille à l'extérieur avec les lunettes enbuée par son masque durant la pandémie covid-19.,Laval,/img/photos/editorial/400px/20201218-philboivin-cold-001.jpg,/img/photos/editorial/900px/20201218-philboivin-cold-001.jpg
2020-12-05,Surf d'automne,Un surfeur sur le route vers le fleuve St-Laurent.,Montréal,/img/photos/editorial/400px/20201205-philboivin-surf-route-001.jpg,/img/photos/editorial/900px/20201205-philboivin-surf-route-001.jpg
2021-06-13,Giant Plastic Tap,Séance photo avec Benjamin Von Wong dans une décharge lors de son projet Giant Plastic Tap.,Trois-Rivières,/img/photos/editorial/400px/20210613-Landfill-PhilBoivin-001.jpg,/img/photos/editorial/900px/20210613-Landfill-PhilBoivin-001.jpg
5 avril 2019,Je suis Taxi,Un chauffeur de taxi manifeste contre la loi 17.,Montréal,/img/photos/editorial/400px/20190405-editorial-philboivin-017.jpg,/img/photos/editorial/900px/20190405-editorial-philboivin-017.jpg
29 novembre 2014,Police au Super S.,Policiers durant une manifestation contre l'austérité.,Montréal,/img/photos/editorial/400px/20141129-editorial-philboivin-004.jpg,/img/photos/editorial/900px/20141129-editorial-philboivin-004.jpg
15 février 2020,HideSeek,Deux soeurs s'amusent au HideSeek.,Montréal,/img/photos/editorial/400px/20200215-editorial-philboivin-020.jpg,/img/photos/editorial/900px/20200215-editorial-philboivin-020.jpg
23 janvier 2015,Patrice Bernier,Le capitaine de l'Impact de Montréal Patrice Bernier lors d'un point de presse.,Montréal,/img/photos/editorial/400px/20150123-editorial-philboivin-005.jpg,/img/photos/editorial/900px/20150123-editorial-philboivin-005.jpg
4 février 2015,Bain de soleil,Un homme fait une sieste sous le soleil de la Floride.,Fort Lauderdale,/img/photos/editorial/400px/20150204-editorial-philboivin-006.jpg,/img/photos/editorial/900px/20150204-editorial-philboivin-006.jpg
2020-12-05,Surf,Un surfeur pratique sur le fleuve St-Laurent.,Montréal,/img/photos/editorial/400px/20201205-philboivin-surf-001.jpg,/img/photos/editorial/900px/20201205-philboivin-surf-001.jpg
18 juin 2017,Zoey,Les premiers pas.,Montréal,/img/photos/editorial/400px/20170618-editorial-philboivin-010.jpg,/img/photos/editorial/900px/20170618-editorial-philboivin-010.jpg
16 décembre 2017,Biz,Biz de Loco Locass participe à la joute de hockey la collecte annuelle du Dr Julien.,Montréal,/img/photos/editorial/400px/20171216-editorial-philboivin-011.jpg,/img/photos/editorial/900px/20171216-editorial-philboivin-011.jpg
16 décembre 2017,Florence K,Florence K chante lors de la collecte annuelle du Dr Julien.,Montréal,/img/photos/editorial/400px/20171216-editorial-philboivin-012.jpg,/img/photos/editorial/900px/20171216-editorial-philboivin-012.jpg
27 septembre 2018,Golf,Pierre-Luc joue au golf dans un centre de pratique.,Las Vegas,/img/photos/editorial/400px/20180927-editorial-philboivin-013.jpg,/img/photos/editorial/900px/20180927-editorial-philboivin-013.jpg
10 novembre 2018,Gabriel Nadeau-Dubois,Gabriel Nadeau-Dubois lors d'une marche pour l'environnement.,Montréal,/img/photos/editorial/400px/20181110-editorial-philboivin-014.jpg,/img/photos/editorial/900px/20181110-editorial-philboivin-014.jpg
8 février 2019,Glace à la Place des Arts,Des travailleurs nettoient la chaussée recouverte d'une épaisse couche de glace à la Place des Arts.,Montréal,/img/photos/editorial/400px/20190208-editorial-philboivin-015.jpg,/img/photos/editorial/900px/20190208-editorial-philboivin-015.jpg
13 février 2019,Hiver,Un résident nettoie la neige devant sa résidence.,Montréal,/img/photos/editorial/400px/20190213-editorial-philboivin-016.jpg,/img/photos/editorial/900px/20190213-editorial-philboivin-016.jpg
10 avril 2019,Non à la loi 17,Biz de Loco Locass participe à une joute de hockey lors de la collecte annuelle du Dr Julien.,Québec,/img/photos/editorial/400px/20190410-editorial-philboivin-018.jpg,/img/photos/editorial/900px/20190410-editorial-philboivin-018.jpg
10 avril 2019,Rencontre amicale,Ruba Ghazal de Québec Solidaire sympathise avec un participant à une marche contre la loi 17.,Québec,/img/photos/editorial/400px/20190410-editorial-philboivin-019.jpg,/img/photos/editorial/900px/20190410-editorial-philboivin-019.jpg
